policy_num,hidden_profile
POL-7B470899,at_risk
POL-65809B7D,good
POL-B985E323,good
POL-8BF42F53,good
POL-0854D225,at_risk
POL-12EA6561,at_risk
POL-5C8B0ABF,churned
POL-4DA364BE,good
POL-D8CEAA0B,good
POL-9713142F,at_risk
POL-74A732DF,good
POL-7829B280,good
POL-CB397C4B,good
POL-ADAC7E1D,at_risk
POL-680014F5,good
POL-5357FF89,good
POL-49E5E23A,at_risk
POL-41C1AD30,at_risk
POL-BE4ECF32,at_risk
POL-286DB366,good
POL-3C9FF59C,good
POL-51A8C096,at_risk
POL-6AAC4FDC,churned
POL-AB88208D,churned
POL-3EDF4634,good
POL-63538083,good
POL-16E86406,churned
POL-C250D19B,at_risk
POL-8416CF21,good
POL-487F7143,good
POL-9AE6C85E,churned
POL-44928616,good
POL-52BDA1E9,good
POL-8A209A7A,good
POL-36C40C99,good
POL-414BA055,good
POL-89034C7A,good
POL-01F71D0A,churned
POL-D40775BD,at_risk
POL-836675CC,at_risk
POL-87004BBC,churned
POL-4050CFCA,at_risk
POL-B43BEF53,at_risk
POL-3EB9CEB6,churned
POL-8EBB9C46,good
POL-1958DB2B,at_risk
POL-BC9472A3,churned
POL-4F49CA05,churned
POL-B0A9470E,at_risk
POL-DB7F7FE1,churned
POL-2FDD2230,churned
POL-0068CCEA,at_risk
POL-58E85690,at_risk
POL-9470573C,at_risk
POL-1838A89C,at_risk
POL-640574D5,good
POL-C9C42BE1,good
POL-C1F825B9,good
POL-64C1436A,good
POL-FDA2761A,good
POL-45A0603A,good
POL-FDB56D99,good
POL-0A53C138,good
POL-70EA7FB4,good
POL-BF1D5D3C,good
POL-623452AE,at_risk
POL-F86DB306,good
POL-9DABBAED,good
POL-D34A80B3,good
POL-76A01E19,good
POL-E316196B,good
POL-35706C0F,good
POL-7731331E,churned
POL-3C460885,churned
POL-DEFB0A3B,at_risk
POL-F028637A,at_risk
POL-3EE699CF,at_risk
POL-61CBB264,good
POL-75B3B339,good
POL-34620F14,at_risk
POL-FB8C98F5,at_risk
POL-F482205D,good
POL-FCF23E9E,good
POL-8B2484C6,good
POL-AAFA923B,good
POL-205F5FDD,churned
POL-B6693DE6,at_risk
POL-293CDFB8,at_risk
POL-B97B367E,at_risk
POL-43BFD43A,at_risk
POL-43D07F2D,at_risk
POL-C151658B,churned
POL-4E958D77,churned
POL-7D94D30B,churned
POL-3E6A15C1,good
POL-B6E22C4B,good
POL-BD2BC394,good
POL-CE6D2504,good
POL-57068233,good
POL-70E315A9,good
POL-8AE59B8B,good
POL-62C4A78A,good
POL-FF69BC37,churned
POL-8E887B56,churned
POL-F18DBCD5,churned
POL-BBAE5B21,good
POL-F2A5C51F,good
POL-09B3CBA5,at_risk
POL-2B7E6E08,at_risk
POL-642179C2,good
POL-3D8E08B1,churned
POL-662886B1,churned
POL-41E9AF92,at_risk
POL-71419447,good
POL-2F4AE49F,good
POL-F58D8350,good
POL-DDF95978,good
POL-E860CA5D,at_risk
POL-A12E625F,at_risk
POL-5E85F193,good
POL-EFB91DAC,good
POL-33D09603,at_risk
POL-35F36C38,at_risk
POL-6B0C1F12,churned
POL-21090648,good
POL-B2770E3E,good
POL-A005DEC4,good
POL-EF5ADAD5,churned
POL-1FDB67B8,at_risk
POL-327DC383,good
POL-6290DFC1,good
POL-DE54F919,good
POL-D6194B36,good
POL-A427CEBD,at_risk
POL-23057693,at_risk
POL-10E360D8,churned
POL-E97E162F,churned
POL-94A80772,at_risk
POL-140478E4,good
POL-76219799,good
POL-D07D891F,good
POL-D69A329B,churned
POL-304E1263,churned
POL-ED643EE6,at_risk
POL-B4E663E7,churned
POL-2565578E,churned
POL-0D427E2F,good
POL-6247AD53,at_risk
POL-3CD534C8,at_risk
POL-9B1ABCE2,at_risk
POL-F75F459B,at_risk
POL-50E7004B,good
POL-DB745FB0,at_risk
POL-65B599A4,at_risk
POL-635AA20E,good
POL-52132DC5,at_risk
POL-0FE59CE1,at_risk
POL-912D669F,at_risk
POL-8C0F8B4A,churned
POL-F0BCA24E,churned
POL-C8B8D6ED,churned
POL-E40ED001,churned
POL-AC5317EC,good
POL-1CCAF738,good
POL-D49808DA,at_risk
POL-8662B33A,good
POL-5C031C44,churned
POL-189665B3,churned
POL-6EB57814,churned
POL-E24F67B5,churned
POL-EF9F17B7,good
POL-A7FD7D6F,at_risk
POL-6D2057C3,at_risk
POL-E4288D33,at_risk
POL-F3BDEE7E,at_risk
POL-6E5CBAA4,good
POL-AC8CFBA5,good
