policy_num,invoice_num,invoice_type,invoice_start_date,invoice_end_date,days_arrears_allowed,installment_num,premium
POL-7B470899,INV-140B0E91,Premium,2025-01-09,2025-07-08,60,1,894.01
POL-7B470899,INV-86B6030C,Refund,2025-07-08,2026-01-04,90,2,894.01
POL-7B470899,INV-306BB417,Premium,2026-01-04,2026-01-09,90,3,894.01
POL-65809B7D,INV-653FD591,Premium,2025-05-11,2025-08-09,30,1,860.44
POL-65809B7D,INV-8B974F41,Premium,2025-08-09,2025-11-07,30,2,860.44
POL-65809B7D,INV-0A4178AA,Premium,2025-11-07,2026-02-05,90,3,860.44
POL-65809B7D,INV-1E81ECE5,Premium,2026-02-05,2026-05-06,90,4,860.44
POL-65809B7D,INV-48C989CA,Premium,2026-05-06,2026-05-11,30,5,860.44
POL-B985E323,INV-3339DB63,Premium,2022-08-18,2022-11-16,90,1,1350.4
POL-B985E323,INV-2964B5F6,Refund,2022-11-16,2023-02-14,90,2,1350.4
POL-B985E323,INV-B4705295,Premium,2023-02-14,2023-05-15,30,3,1350.4
POL-B985E323,INV-74171CD0,Premium,2023-05-15,2023-08-13,60,4,1350.4
POL-B985E323,INV-1205A60D,Premium,2023-08-13,2023-08-18,30,5,1350.4
POL-8BF42F53,INV-CE4A1E1C,Premium,2022-04-29,2022-10-26,30,1,599.9
POL-8BF42F53,INV-4499CF8D,Premium,2022-10-26,2023-04-24,30,2,599.9
POL-8BF42F53,INV-C896759A,Premium,2023-04-24,2023-04-29,90,3,599.9
POL-0854D225,INV-56924D00,Premium,2022-06-25,2022-09-23,60,1,1703.83
POL-0854D225,INV-ED784A80,Premium,2022-09-23,2022-12-22,30,2,1703.83
POL-0854D225,INV-3BF5C128,Premium,2022-12-22,2023-03-22,60,3,1703.83
POL-0854D225,INV-1986F71A,Premium,2023-03-22,2023-06-20,60,4,1703.83
POL-0854D225,INV-45766653,Premium,2023-06-20,2023-06-25,30,5,1703.83
POL-12EA6561,INV-5E573260,Adjustment,2024-12-26,2025-01-25,30,1,514.26
POL-12EA6561,INV-2691A921,Premium,2025-01-25,2025-02-24,60,2,514.26
POL-12EA6561,INV-E6B64756,Premium,2025-02-24,2025-03-26,90,3,514.26
POL-12EA6561,INV-6E8AE78D,Premium,2025-03-26,2025-04-25,30,4,514.26
POL-12EA6561,INV-F2D1517F,Premium,2025-04-25,2025-05-25,90,5,514.26
POL-12EA6561,INV-1FBAA026,Adjustment,2025-05-25,2025-06-24,30,6,514.26
POL-12EA6561,INV-3B5662E6,Refund,2025-06-24,2025-07-24,30,7,514.26
POL-12EA6561,INV-C119A8E4,Premium,2025-07-24,2025-08-23,60,8,514.26
POL-12EA6561,INV-78FD6960,Premium,2025-08-23,2025-09-22,90,9,514.26
POL-12EA6561,INV-B735A710,Premium,2025-09-22,2025-10-22,90,10,514.26
POL-12EA6561,INV-67FC5EC2,Premium,2025-10-22,2025-11-21,60,11,514.26
POL-12EA6561,INV-673AAE96,Premium,2025-11-21,2025-12-21,90,12,514.26
POL-12EA6561,INV-4CE15C9B,Refund,2025-12-21,2025-12-26,60,13,514.26
POL-5C8B0ABF,INV-C38C56B9,Premium,2025-09-13,2025-10-13,90,1,1058.04
POL-5C8B0ABF,INV-916B2D82,Premium,2025-10-13,2025-11-12,30,2,1058.04
POL-5C8B0ABF,INV-6FA42B6C,Premium,2025-11-12,2025-12-12,60,3,1058.04
POL-5C8B0ABF,INV-6BB90308,Premium,2025-12-12,2026-01-11,30,4,1058.04
POL-5C8B0ABF,INV-33C82A98,Premium,2026-01-11,2026-02-10,90,5,1058.04
POL-5C8B0ABF,INV-E48EC70B,Premium,2026-02-10,2026-03-12,30,6,1058.04
POL-5C8B0ABF,INV-AAB231B1,Premium,2026-03-12,2026-04-11,90,7,1058.04
POL-5C8B0ABF,INV-7A1524B4,Premium,2026-04-11,2026-05-11,60,8,1058.04
POL-5C8B0ABF,INV-8DE3F108,Premium,2026-05-11,2026-06-10,60,9,1058.04
POL-5C8B0ABF,INV-C33E27A8,Premium,2026-06-10,2026-07-10,90,10,1058.04
POL-5C8B0ABF,INV-32EC7F1F,Adjustment,2026-07-10,2026-08-09,30,11,1058.04
POL-5C8B0ABF,INV-962BCF3E,Premium,2026-08-09,2026-09-08,60,12,1058.04
POL-4DA364BE,INV-0B2F2E65,Premium,2024-12-16,2025-06-14,90,1,1435.06
POL-4DA364BE,INV-6689ED34,Premium,2025-06-14,2025-12-11,30,2,1435.06
POL-4DA364BE,INV-3F050A1A,Premium,2025-12-11,2025-12-16,90,3,1435.06
POL-D8CEAA0B,INV-71A19AE3,Premium,2024-05-16,2024-11-12,60,1,466.67
POL-D8CEAA0B,INV-7854932E,Premium,2024-11-12,2025-05-11,30,2,466.67
POL-D8CEAA0B,INV-518EC7FE,Premium,2025-05-11,2025-05-16,60,3,466.67
POL-9713142F,INV-4B895EE4,Premium,2025-12-31,2026-03-31,60,1,1103.48
POL-9713142F,INV-B2C9C311,Premium,2026-03-31,2026-06-29,60,2,1103.48
POL-9713142F,INV-1CAF870C,Premium,2026-06-29,2026-09-27,90,3,1103.48
POL-74A732DF,INV-4CA0FA73,Premium,2024-06-16,2024-09-14,90,1,772.31
POL-74A732DF,INV-6120429A,Premium,2024-09-14,2024-12-13,30,2,772.31
POL-74A732DF,INV-121F1E97,Premium,2024-12-13,2025-03-13,60,3,772.31
POL-74A732DF,INV-AD380B0E,Premium,2025-03-13,2025-06-11,90,4,772.31
POL-74A732DF,INV-8FEB168D,Premium,2025-06-11,2025-06-16,30,5,772.31
POL-7829B280,INV-45E9CAEC,Premium,2022-09-05,2022-10-05,90,1,473.75
POL-7829B280,INV-63478BCB,Premium,2022-10-05,2022-11-04,30,2,473.75
POL-7829B280,INV-943E97DE,Refund,2022-11-04,2022-12-04,90,3,473.75
POL-7829B280,INV-A7121FF4,Premium,2022-12-04,2023-01-03,90,4,473.75
POL-7829B280,INV-42BF3302,Premium,2023-01-03,2023-02-02,30,5,473.75
POL-7829B280,INV-F40C038E,Premium,2023-02-02,2023-03-04,90,6,473.75
POL-7829B280,INV-72BFB5DC,Premium,2023-03-04,2023-04-03,60,7,473.75
POL-7829B280,INV-DBBBF28F,Premium,2023-04-03,2023-05-03,90,8,473.75
POL-7829B280,INV-14E5B2B0,Premium,2023-05-03,2023-06-02,60,9,473.75
POL-7829B280,INV-25072711,Adjustment,2023-06-02,2023-07-02,60,10,473.75
POL-7829B280,INV-19CF9601,Premium,2023-07-02,2023-08-01,60,11,473.75
