transaction_id,invoice_num,premium,pay_transaction_date,pay_transaction_status
TXN-FE024E32,INV-140B0E91,894.01,2025-01-12,Failed
TXN-BBAEDA8B,INV-86B6030C,894.01,2025-10-19,Paid Late
TXN-CBE2C7C7,INV-306BB417,894.01,2026-01-11,Paid
TXN-EDCBA508,INV-653FD591,860.44,2025-05-14,Paid
TXN-40DBFAA1,INV-8B974F41,860.44,2025-08-11,Paid
TXN-7A7CA835,INV-0A4178AA,860.44,2025-11-17,Paid
TXN-1183B739,INV-1E81ECE5,860.44,2026-02-15,Paid
TXN-7C5D4C7C,INV-48C989CA,860.44,2026-05-07,Paid
TXN-B09CE1AD,INV-3339DB63,1350.4,2022-08-23,Paid
TXN-ABE1BB46,INV-2964B5F6,1350.4,2022-11-26,Paid
TXN-0FC15378,INV-B4705295,1350.4,2023-02-21,Paid
TXN-1B9B810E,INV-74171CD0,1350.4,2023-05-16,Paid
TXN-5A847B6A,INV-1205A60D,1350.4,2023-08-17,Paid
TXN-9857E199,INV-CE4A1E1C,599.9,2022-05-01,Paid
TXN-1D28F636,INV-4499CF8D,599.9,2022-11-05,Paid
TXN-B8D44A1E,INV-C896759A,599.9,2023-04-25,Paid
TXN-26B93B99,INV-3BF5C128,1703.83,2023-01-01,Paid
TXN-33702632,INV-1986F71A,1703.83,2023-03-31,Paid
TXN-898D9FBD,INV-45766653,1703.83,2023-08-14,Paid Late
TXN-497E682A,INV-5E573260,514.26,2024-12-28,Paid
TXN-7AFD0B3A,INV-2691A921,514.26,2025-01-27,Paid
TXN-79AA76B8,INV-E6B64756,514.26,2025-02-28,Paid
TXN-C878E51F,INV-6E8AE78D,514.26,2025-03-27,Paid
TXN-07EEAC50,INV-1FBAA026,514.26,2025-05-30,Paid
TXN-EB0CC91F,INV-3B5662E6,514.26,2025-08-10,Paid Late
TXN-24023978,INV-C119A8E4,514.26,2025-10-06,Paid Late
TXN-BED60AD7,INV-78FD6960,514.26,2025-11-24,Paid Late
TXN-2F702306,INV-B735A710,514.26,2026-01-08,Paid Late
TXN-8977CDA1,INV-67FC5EC2,514.26,2025-12-30,Paid Late
TXN-A4BB8B6B,INV-673AAE96,514.26,2025-11-23,Paid
TXN-34D6F354,INV-4CE15C9B,514.26,2025-12-25,Paid
TXN-7FA7A38F,INV-916B2D82,1058.04,2025-10-19,Paid
TXN-80C5794D,INV-6FA42B6C,1058.04,2025-11-23,Failed
TXN-70A5FE87,INV-6BB90308,1058.04,2025-12-23,Failed
TXN-DAFE5451,INV-6BB90308,1058.04,2026-01-01,Paid
TXN-1248D6AB,INV-AAB231B1,1058.04,2026-03-14,Paid
TXN-5FBB9852,INV-8DE3F108,1058.04,2026-07-30,Paid Late
TXN-5FCC8299,INV-32EC7F1F,1058.04,2026-07-22,Failed
TXN-21BB56D3,INV-962BCF3E,1058.04,2026-08-10,Failed
TXN-A9BC8667,INV-0B2F2E65,1435.06,2024-12-19,Paid
TXN-291132FD,INV-6689ED34,1435.06,2025-06-20,Paid
TXN-C92FA692,INV-3F050A1A,1435.06,2025-12-16,Paid
