insurance_product,customer_id,policy_num,effective_start_date,effective_end_date,payment_frequency,policy_status,cancel_date
Umbrella,CUST-4DE81452,POL-7B470899,2025-01-09,2026-01-09,Semi-Annual,Expired,
Life,CUST-2FB45C8F,POL-65809B7D,2025-05-11,2026-05-11,Quarterly,Expired,
Life,CUST-205A4901,POL-B985E323,2022-08-18,2023-08-18,Quarterly,Expired,
Home,CUST-EFAAC154,POL-8BF42F53,2022-04-29,2023-04-29,Semi-Annual,Expired,
Renters,CUST-9264AD97,POL-0854D225,2022-06-25,2023-06-25,Quarterly,Expired,
Umbrella,CUST-5C53A31D,POL-12EA6561,2024-12-26,2025-12-26,Monthly,Expired,
Commercial Property,CUST-A0CFE427,POL-5C8B0ABF,2025-09-13,2026-09-13,Monthly,Cancelled,2026-08-12
Umbrella,CUST-85415E6F,POL-4DA364BE,2024-12-16,2025-12-16,Semi-Annual,Expired,
Home,CUST-85415E6F,POL-D8CEAA0B,2024-05-16,2025-05-16,Semi-Annual,Expired,
Life,CUST-B050F0D0,POL-9713142F,2025-12-31,2026-12-31,Quarterly,Active,
Commercial Property,CUST-4FC656C5,POL-74A732DF,2024-06-16,2025-06-16,Quarterly,Expired,
Home,CUST-4FC656C5,POL-7829B280,2022-09-05,2023-09-05,Monthly,Expired,
Auto,CUST-8DB016DB,POL-CB397C4B,2023-11-24,2024-11-23,Semi-Annual,Expired,
Home,CUST-31EBE609,POL-ADAC7E1D,2025-04-20,2026-04-20,Monthly,Expired,
Renters,CUST-2D0F32BB,POL-680014F5,2025-12-20,2026-12-20,Monthly,Active,
Auto,CUST-0BA64211,POL-5357FF89,2022-05-19,2023-05-19,Quarterly,Expired,
Home,CUST-FC7B8CAB,POL-49E5E23A,2024-11-18,2025-11-18,Quarterly,Expired,
Commercial Property,CUST-28EFAE3A,POL-41C1AD30,2023-03-15,2024-03-14,Monthly,Expired,
Commercial Property,CUST-28EFAE3A,POL-BE4ECF32,2026-01-21,2027-01-21,Semi-Annual,Active,
Umbrella,CUST-AAD79949,POL-286DB366,2023-05-13,2024-05-12,Quarterly,Expired,
Home,CUST-AAD79949,POL-3C9FF59C,2024-04-13,2025-04-13,Monthly,Expired,
Health,CUST-CBF33F83,POL-51A8C096,2025-09-11,2026-09-11,Quarterly,Expired,
Umbrella,CUST-3ADE89B0,POL-6AAC4FDC,2024-04-21,2025-04-21,Semi-Annual,Cancelled,2025-03-16
Auto,CUST-3ADE89B0,POL-AB88208D,2022-04-21,2023-04-21,Quarterly,Cancelled,2022-09-08
Home,CUST-EFA76B8E,POL-3EDF4634,2022-08-12,2023-08-12,Monthly,Expired,
Commercial Property,CUST-EFA76B8E,POL-63538083,2023-01-25,2024-01-25,Quarterly,Expired,
Life,CUST-664904E8,POL-16E86406,2024-05-14,2025-05-14,Quarterly,Cancelled,2024-11-13
Health,CUST-B392B65C,POL-C250D19B,2022-06-04,2023-06-04,Semi-Annual,Expired,
Renters,CUST-D94A5B15,POL-8416CF21,2022-04-14,2023-04-14,Semi-Annual,Expired,
Umbrella,CUST-25453122,POL-487F7143,2022-07-11,2023-07-11,Monthly,Expired,
Health,CUST-92738077,POL-9AE6C85E,2024-04-12,2025-04-12,Monthly,Cancelled,2025-03-16
Home,CUST-38DFECCB,POL-44928616,2022-05-01,2023-05-01,Quarterly,Expired,
Health,CUST-38DFECCB,POL-52BDA1E9,2022-01-05,2023-01-05,Quarterly,Expired,
Health,CUST-FA168004,POL-8A209A7A,2023-08-08,2024-08-07,Semi-Annual,Expired,
Umbrella,CUST-FA168004,POL-36C40C99,2026-02-05,2027-02-05,Semi-Annual,Active,
Home,CUST-A311CA55,POL-414BA055,2022-11-14,2023-11-14,Quarterly,Expired,
Auto,CUST-A311CA55,POL-89034C7A,2023-03-22,2024-03-21,Semi-Annual,Expired,
Auto,CUST-135D9E6C,POL-01F71D0A,2026-03-12,2027-03-12,Monthly,Cancelled,2026-07-20
Umbrella,CUST-8DC69AD1,POL-D40775BD,2024-10-26,2025-10-26,Semi-Annual,Expired,
Auto,CUST-8DC69AD1,POL-836675CC,2022-11-19,2023-11-19,Semi-Annual,Expired,
Commercial Property,CUST-6AF1B060,POL-87004BBC,2023-01-16,2024-01-16,Monthly,Cancelled,2023-05-21
Auto,CUST-79F3CDAF,POL-4050CFCA,2024-04-06,2025-04-06,Semi-Annual,Expired,
